"","...1","Division","Season","Spectators","Date","Home","Away","HG","AG","HS","AS","HST","AST","HF","AF","HY","AY","HR","AR","AvgH","AvgD","AvgA","Avg.2.5","Avg.2.5.1","HP","AP","ProbH","ProbD","ProbA","HEP","AEP","goalsDiff","pointsDiff","expPointsDiff","shotsDiff","shotsTargetDiff","foulsDiff","yellowDiff","redDiff","Season_c"
"55",55,"D1",10,"Yes","04.10.2019","Hertha","Fortuna Dusseldorf",3,1,16,9,3,3,17,18,3,3,0,0,1.68,4.09,4.88,1.6,2.35,3,0,0.569793998081579,0.234047412414927,0.196158589503494,1.94342940665966,0.82252318092541,2,3,1.12090622573425,7,0,-1,0,0,0
"56",56,"D1",10,"Yes","05.10.2019","Bayern Munich","Hoffenheim",1,2,20,8,4,5,8,12,2,0,0,0,1.11,10.03,23.32,1.21,4.31,0,3,0.863359074199915,0.0955462185804492,0.0410947072196358,2.68562344118019,0.218830340239356,-1,-3,2.46679310094084,12,-1,-4,2,0,0
"57",57,"D1",10,"Yes","05.10.2019","Freiburg","Dortmund",2,2,6,8,1,4,10,8,0,3,0,0,5.3,4.32,1.59,1.45,2.72,1,1,0.17985012489592,0.220649458784346,0.599500416319733,0.760199833472107,2.01915070774355,0,0,-1.25895087427144,-2,-3,2,-3,0,0
"58",58,"D1",10,"Yes","05.10.2019","Leverkusen","RB Leipzig",1,1,11,11,8,5,11,12,2,2,0,0,2.33,3.73,2.86,1.51,2.56,1,1,0.409945239696417,0.256078393697762,0.333976366605822,1.48591411278701,1.25800749351523,0,0,0.227906619271784,0,3,-1,0,0,0
"59",59,"D1",10,"Yes","05.10.2019","Paderborn","Mainz",1,2,16,18,7,7,8,18,1,4,0,0,2.49,3.75,2.64,1.44,2.76,0,3,0.383555911991353,0.254681125562258,0.361762962446389,1.40534886153632,1.33997001290143,-1,-3,0.0653788486348896,-2,0,-10,-3,0,0
"60",60,"D1",10,"Yes","05.10.2019","Schalke 04","FC Koln",1,1,15,9,3,5,15,15,4,4,0,0,1.64,4.15,5.08,1.59,2.35,1,1,0.582066970004859,0.230021645977824,0.187911384017317,1.9762225559924,0.793755798029774,0,0,1.18246675796263,6,-2,0,0,0,0
"61",61,"D1",10,"Yes","06.10.2019","M'gladbach","Augsburg",5,1,13,13,9,3,9,9,1,2,0,0,1.53,4.53,5.75,1.5,2.59,3,0,0.623505418195658,0.210587922701845,0.165906659102497,2.08110417728882,0.708307900009335,4,3,1.37279627727948,0,6,0,-1,0,0
"62",62,"D1",10,"Yes","06.10.2019","Wolfsburg","Union Berlin",1,0,13,14,4,3,17,15,2,2,0,0,1.67,3.89,5.22,1.71,2.15,3,0,0.571680344599445,0.24542575205169,0.182893903348865,1.96046678585003,0.794107462098284,1,3,1.16635932375174,-1,1,2,0,0,0
"63",63,"D1",10,"Yes","06.10.2019","Ein Frankfurt","Werder Bremen",2,2,24,11,7,5,12,8,2,1,0,0,2.17,3.65,3.18,1.49,2.59,1,1,0.439191618012646,0.261108441393819,0.299699940593535,1.57868329543176,1.16020826317442,0,0,0.418475032257332,13,2,4,1,0,0
"64",64,"D1",10,"Yes","18.10.2019","Ein Frankfurt","Leverkusen",3,0,10,19,5,10,11,12,1,1,0,0,2.85,3.79,2.32,1.52,2.52,3,0,0.335522374390891,0.252305743275472,0.412171882333637,1.25887286644814,1.48882139027638,3,3,-0.22994852382824,-9,-5,-1,0,0,0
