"","Division","Season","Capacity","Spectators","Covid","Occupancy","Date","Home","Away","HG","AG","HS","AS","HST","AST","HF","AF","HY","AY","HR","AR","AvgH","AvgD","AvgA","Avg.2.5","Avg.2.5.1","HP","AP","ProbH","ProbD","ProbA","HEP","AEP","goalsDiff","shotsDiff","shotsTargetDiff","pointsDiff","expPointsDiff","foulsDiff","yellowDiff","redDiff","Season_c"
"57","E0",12,17250,16876,"No",0.97831884057971,"25/09/2021","Brentford","Liverpool",3,3,12,16,4,6,8,7,1,1,0,0,6.96,4.48,1.49,1.75,2.12,1,1,0.138413814840005,0.215035748055007,0.646550437104988,0.630277192575021,2.15468705936997,0,-4,-2,0,-1.52440986679495,1,0,0,0
"58","E0",12,32384,28002,"No",0.864686264822134,"26/09/2021","Southampton","Wolves",0,1,18,5,6,3,12,8,0,0,0,0,2.65,3.24,2.83,2.12,1.75,0,3,0.363069052493199,0.296954626267586,0.339976321239215,1.38616178374718,1.31688358998523,-1,13,3,-3,0.0692781937619531,4,0,0,0
"59","E0",12,60704,59919,"No",0.987068397469689,"26/09/2021","Arsenal","Tottenham",3,1,12,10,7,4,12,13,2,1,0,0,2.28,3.31,3.35,2.07,1.79,3,0,0.422044432941427,0.290713385832766,0.287242181225807,1.55684668465705,1.15243992951019,2,2,3,3,0.40440675514686,-1,1,0,0
"60","E0",12,26047,22975,"No",0.882059354244251,"27/09/2021","Crystal Palace","Brighton",1,1,8,8,3,4,12,10,2,3,0,0,3.04,3.15,2.54,2.31,1.63,1,1,0.316262559983556,0.305218470587305,0.378518969429138,1.25400615053797,1.44077537887472,0,0,-1,0,-0.186769228336746,2,-1,0,0
"61","E0",12,74879,73128,"No",0.976615606511839,"02/10/2021","Man United","Everton",1,1,13,12,6,2,10,9,1,1,0,0,1.5,4.38,7.08,1.81,2.05,1,1,0.643363955485847,0.220330121741728,0.136305922772425,2.15042198819927,0.629247890059004,0,1,4,0,1.52117409814026,1,0,0,0
"62","E0",12,21994,17427,"No",0.792352459761753,"02/10/2021","Burnley","Norwich",0,0,14,10,4,2,13,3,5,2,0,0,1.88,3.61,4.33,1.9,1.94,1,1,0.511520526203838,0.266387420848536,0.222092052947625,1.80094899946005,0.932663579691411,0,4,2,0,0.86828541976864,10,3,0,0
"63","E0",12,40853,40109,"No",0.981788363155705,"02/10/2021","Chelsea","Southampton",3,1,20,6,9,2,11,13,1,3,0,1,1.38,4.9,8.92,1.79,2.06,3,0,0.696213419645872,0.196076432471695,0.107710147882433,2.28471669140931,0.519206876118994,2,14,7,3,1.76550981529032,-2,-2,-1,0
"64","E0",12,37890,36261,"No",0.957007125890736,"02/10/2021","Leeds","Watford",1,0,20,5,4,1,10,16,0,3,0,0,1.76,3.9,4.63,1.69,2.22,3,0,0.546026888581122,0.246412134334045,0.207560977084833,1.88449280007741,0.869095065588543,1,15,3,3,1.01539773448887,-6,-3,0,0
"65","E0",12,32050,30483,"No",0.951107644305772,"02/10/2021","Wolves","Newcastle",2,1,7,8,3,2,15,5,0,2,0,0,1.69,4,5.02,1.93,1.91,3,0,0.568455262457607,0.240172348388339,0.191372389154055,1.94553813576116,0.814289515850503,1,-1,1,3,1.13124861991066,10,-2,0,0
"66","E0",12,31800,31266,"No",0.983207547169811,"02/10/2021","Brighton","Arsenal",0,0,21,8,2,2,8,5,2,1,0,0,3.05,3.22,2.5,2.06,1.8,1,1,0.315735801694383,0.299066520238469,0.385197678067148,1.24627392532162,1.45465955443991,0,13,0,0,-0.208385629118293,3,1,0,0
