"","Division","Season","Date","Covid19","Home","Away","HG","AG","HS","AS","HST","AST","HF","AF","HY","AY","HR","AR","AvgH","AvgD","AvgA","Avg.2.5","Avg.2.5.1","HP","AP","ProbH","ProbD","ProbA","HEP","AEP","goalsDiff","shotsDiff","shotsTargetDiff","pointsDiff","expPointsDiff","foulsDiff","yellowDiff","redDiff","Season_c"
"272","D1",10,"13.06.2020","No","FC Koln","Union Berlin",1,2,10,7,6,5,18,17,3,0,0,0,2.04,3.46,3.7,1.77,2.06,0,3,0.467083084018038,0.27539002641526,0.257526889566702,1.67663927846937,1.04797069511537,-1,3,1,-3,0.628668583354008,1,3,0,0
"273","D1",10,"13.06.2020","No","Fortuna Dusseldorf","Dortmund",0,1,6,5,4,3,6,15,1,3,0,0,7.91,5.34,1.36,1.46,2.68,0,3,0.12051895637859,0.178521525272406,0.700959518349004,0.540078394408175,2.28140008031942,-1,1,1,-3,-1.74132168591124,-9,-2,0,0
"274","D1",10,"13.06.2020","No","Hertha","Ein Frankfurt",1,4,4,18,3,7,14,7,2,2,1,0,2.09,3.69,3.33,1.61,2.32,0,3,0.45578367551327,0.258153897512936,0.286062426973794,1.62550492405275,1.11634117843432,-3,-14,-4,-3,0.509163745618427,7,0,1,0
"275","D1",10,"13.06.2020","No","Paderborn","Werder Bremen",1,5,20,11,8,8,17,18,6,3,0,0,3.12,3.7,2.19,1.69,2.16,0,3,0.306006842951986,0.258038202705459,0.435954954342556,1.17605873156142,1.56590306573313,-4,9,0,-3,-0.389844334171709,-1,3,0,0
"276","D1",10,"13.06.2020","No","Wolfsburg","Freiburg",2,2,22,10,7,6,17,11,0,1,0,0,1.71,3.96,4.77,1.74,2.09,1,1,0.558562874251497,0.241197604790419,0.200239520958084,1.91688622754491,0.841916167664671,0,12,1,0,1.07497005988024,6,-1,0,0
"277","D1",10,"13.06.2020","No","Bayern Munich","M'gladbach",2,1,11,9,6,2,13,10,0,2,0,0,1.37,5.39,7.48,1.36,3.1,3,0,0.6957347051119,0.176837949165733,0.127427345722367,2.26404206450143,0.559119986332833,1,2,4,3,1.7049220781686,3,-2,0,0
"278","D1",10,"14.06.2020","No","Mainz","Augsburg",0,1,18,9,4,3,8,14,2,4,0,0,2.31,3.45,3.06,1.82,1.98,0,3,0.4124617602588,0.276170048173283,0.311368191567917,1.51355532894968,1.21027462287704,-1,9,1,-3,0.303280706072647,-6,-2,0,0
"279","D1",10,"14.06.2020","No","Schalke 04","Leverkusen",1,1,7,15,4,5,14,7,4,1,0,0,5.79,4.36,1.55,1.71,2.14,1,1,0.164922187866823,0.21901363939195,0.616064172741227,0.713780202992418,2.06720615761563,0,-8,-1,0,-1.35342595462321,7,3,0,0
"280","D1",10,"16.06.2020","No","M'gladbach","Wolfsburg",3,0,11,12,3,2,15,17,1,4,0,0,2.13,3.61,3.32,1.6,2.34,3,0,0.448110191766276,0.264397426166806,0.287492382066918,1.60872800146563,1.12687457236756,3,-1,1,3,0.481853429098074,-2,-3,0,0
"281","D1",10,"16.06.2020","No","Freiburg","Hertha",2,1,17,12,6,5,6,16,0,2,0,0,2.68,3.56,2.53,1.71,2.15,3,0,0.355606443461781,0.267703727100442,0.376689829437776,1.33452305748579,1.39777321541377,1,5,1,3,-0.0632501579279849,-10,-2,0,0
"282","D1",10,"16.06.2020","No","Union Berlin","Paderborn",1,0,14,10,6,2,17,16,0,0,0,0,1.67,4.06,4.95,1.7,2.17,3,0,0.571852138505621,0.235219968301573,0.192927893192806,1.95077638381844,0.81400364787999,1,4,4,3,1.13677273593845,1,0,0,0
"283","D1",10,"16.06.2020","No","Werder Bremen","Bayern Munich",0,1,6,13,1,4,9,13,2,3,0,1,13.52,7.27,1.2,1.32,3.35,0,3,0.0707896240132946,0.131647278770253,0.797563097216452,0.344016150810137,2.52433657041961,-1,-7,-3,-3,-2.18032041960947,-4,-1,-1,0
"284","D1",10,"17.06.2020","No","Ein Frankfurt","Schalke 04",2,1,14,8,4,5,9,16,3,5,0,1,1.73,4.04,4.5,1.67,2.21,3,0,0.551674748590468,0.236236959173641,0.212088292235891,1.89126120494505,0.872501835881314,1,6,-1,3,1.01875936906373,-7,-2,-1,0
"285","D1",10,"17.06.2020","No","Augsburg","Hoffenheim",1,3,12,17,5,5,10,14,2,1,0,0,2.71,3.65,2.46,1.61,2.32,0,3,0.351606094662276,0.261055483982128,0.387338421355596,1.31587376796896,1.42307074804892,-2,-5,0,-3,-0.107196980079962,-4,1,0,0
"286","D1",10,"17.06.2020","No","Dortmund","Mainz",0,2,15,10,5,6,14,13,6,3,0,0,1.26,6.25,10.55,1.38,3.01,0,3,0.756984346568242,0.152608044268158,0.0904076091636005,2.42356108397288,0.423830871758959,-2,5,-1,-3,1.99973021221392,1,3,0,0
"287","D1",10,"17.06.2020","No","Leverkusen","FC Koln",3,1,13,7,6,1,12,16,2,2,0,0,1.47,4.68,6.42,1.43,2.78,3,0,0.648056838917576,0.203556314788213,0.148386846294211,2.14772683154094,0.648716853670847,2,6,5,3,1.49900997787009,-4,0,0,0
"288","D1",10,"17.06.2020","No","RB Leipzig","Fortuna Dusseldorf",2,2,14,12,5,2,7,7,1,0,0,0,1.22,6.6,12.55,1.35,3.14,1,1,0.779994914919062,0.144180878212312,0.075824206868626,2.4841656229695,0.371653498818189,0,2,3,0,2.11251212415131,0,1,0,0
"289","D1",10,"20.06.2020","No","Bayern Munich","Freiburg",3,1,23,11,8,3,13,8,0,0,0,0,1.26,6.51,9.83,1.33,3.27,3,0,0.756585644412444,0.146435931176602,0.0969784244109542,2.41619286441393,0.437371204409465,2,12,5,3,1.97882166000447,5,0,0,0
"290","D1",10,"20.06.2020","No","FC Koln","Ein Frankfurt",1,1,4,9,2,2,8,15,1,2,0,0,2.7,3.75,2.43,1.51,2.55,1,1,0.353218210361067,0.254317111459969,0.392464678178964,1.31397174254317,1.43171114599686,0,-5,0,0,-0.117739403453689,-7,-1,0,0
"291","D1",10,"20.06.2020","No","Fortuna Dusseldorf","Augsburg",1,1,8,11,4,3,14,12,1,0,0,0,1.93,3.72,3.85,1.82,2,1,1,0.495021101129887,0.256825463758248,0.248153435111865,1.74188876714791,1.00128576909384,0,-3,1,0,0.740602998054065,2,1,0,0
"292","D1",10,"20.06.2020","No","Hertha","Leverkusen",2,0,13,12,5,2,14,15,4,3,0,0,4.99,4.24,1.63,1.51,2.56,3,0,0.190903943097852,0.224672329259029,0.584423727643119,0.797384158552586,1.97794351218839,2,1,3,3,-1.1805593536358,-1,1,0,0
"293","D1",10,"20.06.2020","No","Hoffenheim","Union Berlin",4,0,15,5,8,1,10,15,1,3,0,0,1.61,4.2,5.33,1.56,2.41,3,0,0.593331972763873,0.227443922892818,0.179224104343309,2.00743984118444,0.765116235922744,4,10,7,3,1.24232360526169,-5,-2,0,0
"294","D1",10,"20.06.2020","No","Mainz","Werder Bremen",3,1,21,19,12,6,12,15,2,3,0,0,2.55,3.55,2.66,1.71,2.13,3,0,0.373558557667583,0.26833079494432,0.358110647388097,1.38900646794707,1.34266273710861,2,2,6,3,0.0463437308384598,-3,-1,0,0
"295","D1",10,"20.06.2020","No","Paderborn","M'gladbach",1,3,11,22,1,10,11,13,4,2,1,0,9.86,6.06,1.28,1.33,3.3,0,3,0.0968036620857316,0.157505628410118,0.745690709504151,0.447916614667312,2.39457775692257,-2,-11,-9,-3,-1.94666114225526,-2,2,1,0
"296","D1",10,"20.06.2020","No","RB Leipzig","Dortmund",0,2,16,11,5,7,13,7,3,3,0,0,2.32,3.67,2.9,1.56,2.41,0,3,0.411158413623123,0.259914855478378,0.328926730898499,1.49339009634775,1.24669504817387,-2,5,-2,-3,0.246695048173874,6,0,0,0
"297","D1",10,"20.06.2020","No","Schalke 04","Wolfsburg",1,4,10,10,3,5,12,16,4,3,0,0,5.12,4.06,1.65,1.75,2.09,0,3,0.186424075115071,0.235096370588464,0.578479554296464,0.794368595933679,1.97053503347786,-3,0,-2,-3,-1.17616643754418,-4,1,0,0
"298","D1",10,"27.06.2020","No","Augsburg","RB Leipzig",1,2,5,14,1,5,11,10,4,1,0,0,7.02,5.21,1.4,1.37,3.06,0,3,0.135838290232828,0.183029711599704,0.681131998167468,0.590544582298189,2.22642570610211,-1,-9,-4,-3,-1.63588112380392,1,3,0,0
"299","D1",10,"27.06.2020","No","Dortmund","Hoffenheim",0,4,7,15,4,7,7,5,1,0,0,0,1.73,4.43,4.08,1.33,3.26,0,3,0.551104226949663,0.215216774858446,0.233678998191891,1.86852945570743,0.91625376943412,-4,-8,-3,-3,0.952275686273314,2,1,0,0
"300","D1",10,"27.06.2020","No","Ein Frankfurt","Paderborn",3,2,12,16,4,5,13,3,0,1,0,0,1.32,5.77,8.43,1.29,3.56,3,0,0.721837616921248,0.165134428827738,0.113027954251014,2.33064727959148,0.50421829158078,1,-4,-1,3,1.8264289880107,10,-1,0,0
"301","D1",10,"27.06.2020","No","Freiburg","Schalke 04",4,0,15,21,8,5,14,5,1,0,0,0,1.82,3.95,4.1,1.58,2.38,3,0,0.525027556247163,0.241911430979706,0.233061012773131,1.8169940997212,0.941094469299099,4,-6,3,3,0.875899630422097,9,1,0,0
"302","D1",10,"27.06.2020","No","Leverkusen","Mainz",1,0,13,6,2,1,10,10,1,1,0,0,1.26,6.54,9.77,1.31,3.42,3,0,0.756643267208549,0.14577530836128,0.0975814244301711,2.41570510998693,0.438519581651793,1,7,1,3,1.97718552833513,0,0,0,0
"303","D1",10,"27.06.2020","No","M'gladbach","Hertha",2,1,22,4,8,2,7,15,1,2,0,0,1.35,5.46,8.02,1.35,3.17,3,0,0.706423261576584,0.174665092148056,0.11891164627536,2.29393487687781,0.531400030974137,1,18,6,3,1.76253484590367,-8,-1,0,0
"304","D1",10,"27.06.2020","No","Union Berlin","Fortuna Dusseldorf",3,0,11,25,7,4,15,6,0,1,0,0,3.86,3.58,1.97,1.72,2.14,3,0,0.247671690851115,0.26704266108528,0.485285648063605,1.01005773363862,1.7228996052761,3,-14,3,3,-0.712841871637472,9,-1,0,0
"305","D1",10,"27.06.2020","No","Werder Bremen","FC Koln",6,1,18,6,9,2,22,16,1,2,0,0,1.62,4.36,4.93,1.41,2.85,3,0,0.588179922615106,0.218543916201026,0.193276161183869,1.98308368404634,0.798372399752631,5,12,7,3,1.18471128429371,6,-1,0,0
"306","D1",10,"27.06.2020","No","Wolfsburg","Bayern Munich",0,4,11,17,4,11,13,9,3,0,1,0,4.32,4.47,1.69,1.32,3.33,0,3,0.221109013478509,0.213689247925539,0.565201738595952,0.877016288361066,1.9092944637134,-4,-6,-7,-3,-1.03227817535233,4,3,1,0
"307","D2",10,"26.07.2019","Yes","Stuttgart","Hannover",2,1,14,7,7,2,14,15,6,3,1,1,1.74,3.85,4.41,1.67,2.18,3,0,0.541563400093777,0.244758523678746,0.213678076227477,1.86944872396008,0.885792752361176,1,7,5,3,0.983655971598901,-1,3,0,0
"308","D2",10,"27.07.2019","Yes","Dresden","Nurnberg",0,1,16,5,3,2,16,9,2,2,0,0,2.88,3.25,2.44,1.84,1.96,0,3,0.326106624117908,0.288980639218331,0.384912736663761,1.26730051157206,1.44371884920961,-1,11,1,-3,-0.176418337637557,7,0,0,0
"309","D2",10,"27.07.2019","Yes","Holstein Kiel","Sandhausen",1,1,21,15,3,3,4,22,0,4,0,0,2.06,3.54,3.37,1.68,2.17,1,1,0.455955420342144,0.265329990368592,0.278714589289263,1.63319625139503,1.10147375823638,0,6,0,0,0.531722493158643,-18,-4,0,0
"310","D2",10,"27.07.2019","Yes","Osnabruck","Heidenheim",1,3,9,9,2,6,12,13,2,1,1,0,2.53,3.16,2.82,1.96,1.83,0,3,0.370672944934819,0.29677295907756,0.332554095987621,1.40879179388202,1.29443524704042,-2,0,-4,-3,0.114356546841593,-1,1,1,0
"311","D2",10,"28.07.2019","Yes","Hamburg","Darmstadt",1,1,24,8,7,4,12,15,2,4,0,0,1.71,3.54,4.98,1.91,1.87,1,1,0.547517889087656,0.264478980322004,0.18800313059034,1.90703264758497,0.828488372093023,0,16,3,0,1.07854427549195,-3,-2,0,0
"312","D2",10,"28.07.2019","Yes","Greuther Furth","Erzgebirge Aue",0,2,23,12,7,7,9,17,1,4,0,0,2.2,3.25,3.3,2.01,1.79,0,3,0.426695842450766,0.288840262582057,0.284463894967177,1.56892778993435,1.14223194748359,-2,11,0,-3,0.426695842450766,-8,-3,0,0
"313","D2",10,"28.07.2019","Yes","Regensburg","Bochum",3,1,17,16,6,4,13,9,2,2,0,0,2.34,3.4,2.9,1.69,2.14,3,0,0.400780424355743,0.27583123323307,0.323388342411186,1.4781725063003,1.24599626046663,2,1,2,3,0.232176245833672,4,0,0,0
"314","D2",10,"28.07.2019","Yes","Wehen","Karlsruhe",1,2,16,12,4,4,9,17,2,2,0,0,2.4,3.27,2.91,1.86,1.92,0,3,0.39082541677448,0.286844342586774,0.322330240638746,1.45932059291021,1.25383506450301,-1,4,0,-3,0.205485528407201,-8,0,0,0
"315","D2",10,"29.07.2019","Yes","Bielefeld","St Pauli",1,1,22,5,5,3,8,15,2,2,0,0,2.21,3.37,3.14,1.76,2.04,1,1,0.423799206212528,0.27792173463789,0.298279059149582,1.54931935327547,1.17275891208664,0,17,2,0,0.376560441188839,-7,0,0,0
"316","D2",10,"02.08.2019","Yes","Bochum","Bielefeld",3,3,19,15,8,7,9,17,3,2,0,0,2.7,3.44,2.48,1.71,2.12,1,1,0.347996345124657,0.273136666231562,0.37886698864378,1.31712570160553,1.4097376321629,0,4,1,0,-0.0926119305573687,-8,1,0,0
"317","D2",10,"02.08.2019","Yes","Sandhausen","Osnabruck",0,1,13,18,4,4,15,8,4,1,0,0,2.01,3.34,3.73,1.93,1.87,0,3,0.467143376742198,0.281125205764017,0.251731417493785,1.68255533599061,1.03631945824537,-1,-5,0,-3,0.646235877745239,7,3,0,0
"318","D2",10,"02.08.2019","Yes","St Pauli","Greuther Furth",1,3,15,6,5,5,9,16,0,1,0,0,2.09,3.34,3.49,1.9,1.89,0,3,0.449518535514995,0.281285550666569,0.269195913818436,1.62984115721156,1.08887329212188,-2,9,0,-3,0.54096786508968,-7,-1,0,0
"319","D2",10,"03.08.2019","Yes","Karlsruhe","Dresden",4,2,15,15,6,5,9,14,1,3,0,0,2.09,3.39,3.43,1.85,1.94,3,0,0.449266850839403,0.276981627803643,0.273751521356954,1.62478218032185,1.0982361918745,2,0,1,3,0.526545988447347,-5,-2,0,0
"320","D2",10,"03.08.2019","Yes","Hannover","Regensburg",1,1,21,9,6,7,11,12,1,2,0,0,1.97,3.5,3.69,1.68,2.15,1,1,0.476932564726562,0.268444900717522,0.254622534555915,1.69924259489721,1.03231250438527,0,12,-1,0,0.666930090511941,-1,-1,0,0
"321","D2",10,"04.08.2019","Yes","Heidenheim","Stuttgart",2,2,15,23,5,10,8,12,0,1,0,0,3.42,3.4,2.09,1.68,2.16,1,1,0.274555865511672,0.276170900014682,0.449273234473646,1.0998384965497,1.62399060343562,0,-8,-5,0,-0.52415210688592,-4,-1,0,0
"322","D2",10,"04.08.2019","Yes","Darmstadt","Holstein Kiel",2,0,12,22,5,2,9,16,0,1,0,0,2.45,3.46,2.71,1.63,2.23,3,0,0.382826183700716,0.271076343949929,0.346097472349356,1.41955489505208,1.309368760998,2,-10,3,3,0.11018613405408,-7,-1,0,0
"323","D2",10,"04.08.2019","Yes","Erzgebirge Aue","Wehen",3,2,11,23,6,7,15,20,4,5,0,0,2.19,3.24,3.34,1.94,1.85,3,0,0.42888735643117,0.289896083513661,0.281216560055168,1.57655815280717,1.13354576367917,1,-12,-1,3,0.443012389128005,-5,-1,0,0
"324","D2",10,"05.08.2019","Yes","Nurnberg","Hamburg",0,4,9,15,0,8,13,6,1,1,0,0,2.53,3.25,2.75,1.88,1.9,0,3,0.370581527936146,0.2884834663626,0.340935005701254,1.40022805017104,1.31128848346636,-4,-6,-8,-3,0.0889395667046751,7,0,0,0
"325","D2",10,"16.08.2019","Yes","Hamburg","Bochum",1,0,14,7,6,0,8,16,1,1,0,0,1.48,4.36,6.36,1.67,2.19,3,0,0.636070026057915,0.215913678570118,0.148016295371968,2.12412375674386,0.65996256468602,1,7,6,3,1.46416119205784,-8,0,0,0
"326","D2",10,"16.08.2019","Yes","Sandhausen","Nurnberg",3,2,15,11,6,6,14,16,3,3,0,0,2.64,3.14,2.73,2.11,1.72,3,0,0.356151065686152,0.299439112551415,0.344409821762433,1.36789230960987,1.33266857783871,1,4,0,3,0.0352237317711581,-2,0,0,0
"327","D2",10,"17.08.2019","Yes","Bielefeld","Erzgebirge Aue",3,1,14,12,5,8,17,16,1,3,0,0,1.7,3.78,4.75,1.78,2.02,3,0,0.553210500369731,0.248798373182154,0.197991126448114,1.90842987429135,0.842771752526497,2,2,-3,3,1.06565812176485,1,-2,0,0
"328","D2",10,"17.08.2019","Yes","Stuttgart","St Pauli",2,1,17,15,5,2,11,17,0,2,0,0,1.48,4.39,6.25,1.6,2.31,3,0,0.635352335433614,0.214196231535706,0.15045143303068,2.12025323783655,0.665550530627746,1,2,3,3,1.4547027072088,-6,-2,0,0
"329","D2",10,"17.08.2019","Yes","Wehen","Hannover",0,3,14,11,5,6,12,8,4,1,0,0,2.91,3.34,2.37,1.77,2.04,0,3,0.32267374316706,0.28113191395693,0.39619434287601,1.24915314345811,1.46971494258496,-3,3,-1,-3,-0.220561799126851,4,3,0,0
"330","D2",10,"18.08.2019","Yes","Dresden","Heidenheim",2,1,17,13,5,6,11,15,0,1,0,0,2.7,3.31,2.54,1.85,1.94,3,0,0.347378772353155,0.283360327901365,0.36926089974548,1.32549664496083,1.3911430271378,1,4,-1,3,-0.0656463821769742,-4,-1,0,0
"331","D2",10,"18.08.2019","Yes","Greuther Furth","Regensburg",1,0,15,4,7,1,19,14,0,2,0,0,2.55,3.32,2.69,1.77,2.03,3,0,0.368184760247853,0.282792511636152,0.349022728115995,1.38734679237971,1.32986069598414,1,11,6,3,0.0574860963955757,5,-2,0,0
"332","D2",10,"18.08.2019","Yes","Holstein Kiel","Karlsruhe",2,1,20,17,7,2,15,13,0,2,1,0,2.09,3.57,3.25,1.58,2.35,3,0,0.44873009672691,0.262701933377939,0.288567969895151,1.60889222355867,1.12840584306339,1,3,5,3,0.480486380495276,2,-2,1,0
"333","D2",10,"19.08.2019","Yes","Osnabruck","Darmstadt",4,0,21,8,8,1,16,16,3,4,0,0,2.41,3.23,2.93,1.91,1.88,3,0,0.389308706472778,0.290474917213435,0.320216376313787,1.45840103663177,1.2511240461548,4,13,7,3,0.207276990476974,0,-1,0,0
"334","D2",10,"23.08.2019","Yes","Darmstadt","Dresden",0,0,11,11,2,2,10,16,2,2,0,0,2.39,3.31,2.9,1.86,1.94,1,1,0.392743311416519,0.283582028485039,0.323674660098442,1.4618119627346,1.25460600878036,0,0,0,0,0.207205953954232,-6,0,0,0
"335","D2",10,"23.08.2019","Yes","Erzgebirge Aue","Stuttgart",0,0,10,12,0,5,12,9,1,6,0,1,4.07,3.94,1.77,1.62,2.28,1,1,0.230817349860162,0.238433150743873,0.530749499395965,0.930885200324358,1.83068164893177,0,-2,-5,0,-0.899796448607411,3,-5,-1,0
"336","D2",10,"24.08.2019","Yes","Bochum","Wehen",3,3,23,16,9,7,12,9,3,1,1,0,2.01,3.58,3.47,1.64,2.24,1,1,0.467136212024924,0.262274800606172,0.270588987368904,1.66368343668094,1.07404176271288,0,7,2,0,0.589641673968059,3,2,1,0
"337","D2",10,"24.08.2019","Yes","Hannover","Greuther Furth",1,1,11,17,2,6,18,18,3,4,0,0,1.76,3.76,4.33,1.71,2.12,1,1,0.533460903300218,0.249705103672442,0.21683399302734,1.85008781357309,0.900207082754463,0,-6,-4,0,0.949880730818632,0,-1,0,0
"338","D2",10,"24.08.2019","Yes","Regensburg","Bielefeld",1,3,10,14,3,4,14,8,4,1,0,0,2.68,3.43,2.49,1.63,2.26,0,3,0.349938335593679,0.273421206819551,0.376640457586771,1.32323621360059,1.40334257957986,-2,-4,-1,-3,-0.080106365979276,6,3,0,0
"339","D2",10,"25.08.2019","Yes","Heidenheim","Sandhausen",0,2,13,15,2,4,9,8,1,0,0,0,2.12,3.5,3.24,1.75,2.05,0,3,0.442470970158572,0.268010987638906,0.289518042202522,1.59542389811462,1.13656511424647,-2,-2,-2,-3,0.458858783868148,1,1,0,0
"340","D2",10,"25.08.2019","Yes","Karlsruhe","Hamburg",2,4,21,16,7,7,10,13,2,3,0,0,3.18,3.46,2.16,1.77,2.03,0,3,0.294872401874911,0.271009895364803,0.434117702760286,1.15562710098954,1.57336300364566,-2,5,0,-3,-0.417735902656124,-3,-1,0,0
"341","D2",10,"25.08.2019","Yes","Nurnberg","Osnabruck",1,0,16,7,7,2,16,8,2,2,0,0,2.16,3.38,3.26,1.87,1.93,3,0,0.434474709398609,0.277652477012129,0.287872813589262,1.58107660520796,1.14127091777992,1,9,5,3,0.43980568742804,8,0,0,0
"342","D2",10,"26.08.2019","Yes","St Pauli","Holstein Kiel",2,1,11,13,2,6,14,7,4,3,1,0,2.9,3.47,2.3,1.61,2.28,3,0,0.322934369183459,0.269887513150441,0.4071781176661,1.23869062070082,1.49142186614874,1,-2,-4,3,-0.252731245447924,7,1,1,0
"343","D2",10,"30.08.2019","Yes","Nurnberg","Heidenheim",2,2,27,8,7,2,9,9,2,3,0,0,2.15,3.44,3.27,1.76,2.05,1,1,0.438117568246525,0.273823480154078,0.288058951599397,1.58817618489365,1.13800033495227,0,19,5,0,0.450175849941383,0,-1,0,0
"344","D2",10,"30.08.2019","Yes","Sandhausen","Darmstadt",1,0,16,16,5,3,20,12,2,5,0,1,1.91,3.46,4.03,2,1.81,3,0,0.493591082383176,0.272473689986088,0.233935227630736,1.75324693713562,0.974279372878296,1,0,2,3,0.77896756425732,8,-3,-1,0
"345","D2",10,"31.08.2019","Yes","Bielefeld","Greuther Furth",2,2,19,13,6,5,13,13,0,3,0,0,1.71,3.88,4.5,1.69,2.15,1,1,0.549232772776174,0.242058773568881,0.208708453654946,1.8897570918974,0.868184134533718,0,6,1,0,1.02157295736368,0,-3,0,0
"346","D2",10,"31.08.2019","Yes","Dresden","St Pauli",3,3,13,8,8,3,7,18,1,2,1,0,2.06,3.46,3.45,1.77,2.05,1,1,0.456105091014688,0.271553898118571,0.272341010866741,1.63986917116263,1.08857693071879,0,5,5,0,0.55129224044384,-11,-1,1,0
"347","D2",10,"31.08.2019","Yes","Wehen","Regensburg",0,5,11,14,2,9,12,8,1,0,0,0,2.36,3.53,2.79,1.59,2.33,0,3,0.397703915780632,0.26588703717912,0.336409047040248,1.45899878452102,1.27511417829986,-5,-3,-7,-3,0.183884606221153,4,1,0,0
"348","D2",10,"01.09.2019","Yes","Hamburg","Hannover",3,0,20,9,8,4,11,19,0,0,0,0,1.73,3.8,4.46,1.71,2.12,3,0,0.542547810665284,0.247002029592353,0.210450159742363,1.8746454615882,0.878352508819443,3,11,4,3,0.996292952768761,-8,0,0,0
"349","D2",10,"01.09.2019","Yes","Holstein Kiel","Erzgebirge Aue",1,1,12,21,3,6,10,12,3,3,0,0,1.66,4.04,4.68,1.55,2.4,1,1,0.566382285276074,0.23272143404908,0.200896280674847,1.9318682898773,0.83541027607362,0,-9,-3,0,1.09645801380368,-2,0,0,0
"350","D2",10,"01.09.2019","Yes","Osnabruck","Karlsruhe",3,0,20,10,7,3,19,16,2,3,0,0,2.35,3.34,2.93,1.85,1.94,3,0,0.399099536310138,0.280803565966714,0.320096897723148,1.47810217489713,1.24109425913616,3,10,4,3,0.237007915760969,3,-1,0,0
"351","D2",10,"02.09.2019","Yes","Stuttgart","Bochum",2,1,17,13,6,5,7,6,0,1,0,0,1.51,4.33,5.83,1.57,2.37,3,0,0.621993076345,0.216907516231166,0.161099407423834,2.08288674526617,0.700205738502667,1,4,1,3,1.3826810067635,1,-1,0,0
"352","D2",10,"13.09.2019","Yes","Greuther Furth","Wehen",2,1,21,9,6,1,10,19,4,1,0,0,1.93,3.73,3.65,1.59,2.33,3,0,0.48871235807437,0.252872614231511,0.258415027694119,1.71900968845462,1.02811769731387,1,12,5,3,0.690891991140754,-9,3,0,0
"353","D2",10,"13.09.2019","Yes","Karlsruhe","Sandhausen",1,0,14,17,5,5,12,12,2,3,0,0,2.46,3.47,2.73,1.72,2.11,3,0,0.383136974167951,0.271618719438951,0.345244306393098,1.4210296419428,1.30735163861825,1,-3,0,3,0.113678003324557,0,-1,0,0
"354","D2",10,"14.09.2019","Yes","Hannover","Bielefeld",0,2,13,7,4,4,13,15,5,1,1,0,2.31,3.48,2.9,1.65,2.22,0,3,0.406447091800981,0.269796776454099,0.323756131744919,1.48913805185704,1.24106517168886,-2,6,0,-3,0.248072880168185,-2,4,1,0
"355","D2",10,"14.09.2019","Yes","Heidenheim","Holstein Kiel",3,0,15,14,6,1,12,11,1,1,0,0,2.37,3.61,2.73,1.45,2.68,3,0,0.396095831775926,0.260040753825193,0.343863414398881,1.44832824915297,1.29163099702184,3,1,5,3,0.156697252131136,1,0,0,0
"356","D2",10,"14.09.2019","Yes","Regensburg","Stuttgart",2,3,14,24,5,7,22,9,4,0,0,0,3.3,3.71,2.03,1.51,2.52,0,3,0.284486633702636,0.253047410031994,0.462465956265369,1.1065073111399,1.6404452788281,-1,-10,-2,-3,-0.533937967688199,13,4,0,0
"357","D2",10,"15.09.2019","Yes","Bochum","Dresden",2,2,23,7,7,5,11,15,2,3,0,0,2.23,3.48,3.03,1.66,2.21,1,1,0.420737619554938,0.269610601036642,0.30965177940842,1.53182345970146,1.1985659392619,0,16,2,0,0.333257520439555,-4,-1,0,0
"358","D2",10,"15.09.2019","Yes","Darmstadt","Nurnberg",3,3,12,26,6,7,19,10,1,1,0,0,2.84,3.3,2.43,1.9,1.9,1,1,0.330105959937758,0.284091189764616,0.385802850297626,1.27440906957789,1.44149974065749,0,-14,-1,0,-0.167090671079606,9,0,0,0
"359","D2",10,"15.09.2019","Yes","Erzgebirge Aue","Osnabruck",1,0,22,14,6,3,16,14,2,5,1,0,2.61,3.34,2.62,1.86,1.94,3,0,0.360020406148175,0.281333311391239,0.358646282460586,1.36139452983576,1.357272158773,1,8,3,3,0.00412237106276536,2,-3,1,0
"360","D2",10,"16.09.2019","Yes","St Pauli","Hamburg",2,0,10,14,4,5,10,9,2,2,0,0,4.03,3.8,1.81,1.66,2.19,3,0,0.233260870302479,0.247379291399735,0.519359838297786,0.947161902307173,1.80545880629309,2,-4,-1,3,-0.858296903985919,1,0,0,0
"361","D2",10,"20.09.2019","Yes","Heidenheim","Darmstadt",1,0,9,13,5,2,11,12,2,0,0,0,1.88,3.76,3.77,1.64,2.25,3,0,0.500331785003318,0.250165892501659,0.249502322495023,1.75116124751161,0.998672859986729,1,-4,3,3,0.752488387524884,-1,2,0,0
"362","D2",10,"20.09.2019","Yes","Holstein Kiel","Hannover",1,2,9,11,5,3,16,15,2,2,0,0,2.19,3.7,2.99,1.53,2.46,0,3,0.430230885000836,0.254650172473468,0.315118942525696,1.54534282747598,1.20000700005056,-1,-2,2,-3,0.34533582742542,1,0,0,0
"363","D2",10,"21.09.2019","Yes","Nurnberg","Karlsruhe",1,1,16,13,7,3,12,13,0,0,0,0,1.99,3.5,3.66,1.77,2.05,1,1,0.473420453537534,0.269173343582769,0.257406202879697,1.68943470419537,1.04139195222186,0,3,4,0,0.648042751973509,-1,0,0,0
"364","D2",10,"21.09.2019","Yes","Sandhausen","Bochum",1,1,20,14,6,5,15,12,1,4,0,0,2.04,3.39,3.58,1.77,2.04,1,1,0.460489470688674,0.277108708025043,0.262401821286283,1.65857712009106,1.06431417188389,0,6,1,0,0.594262948207172,3,-3,0,0
