Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam
E0;1;29409;25462;28.12.2010;Birmingham;Man United
E0;1;48000;45905;28.12.2010;Man City;Aston Villa
E0;1;30089;26858;28.12.2010;Stoke;Fulham
E0;1;48707;40011;28.12.2010;Sunderland;Blackpool
E0;1;36284;35704;28.12.2010;Tottenham;Newcastle
E0;1;26850;24683;28.12.2010;West Brom;Blackburn
E0;1;35345;33404;28.12.2010;West Ham;Everton
E0;1;42000;41435;29.12.2010;Chelsea;Bolton
E0;1;45000;42820;29.12.2010;Liverpool;Wolves
E0;1;25133;16812;29.12.2010;Wigan;Arsenal
E0;1;29409;25462;01.01.2011;Birmingham;Arsenal
E0;1;45000;42820;01.01.2011;Liverpool;Bolton
E0;1;48000;45905;01.01.2011;Man City;Blackpool
E0;1;30089;26858;01.01.2011;Stoke;Everton
E0;1;48707;40011;01.01.2011;Sunderland;Blackburn
E0;1;36284;35704;01.01.2011;Tottenham;Fulham
E0;1;26850;24683;01.01.2011;West Brom;Man United
E0;1;35345;33404;01.01.2011;West Ham;Wolves
E0;1;42000;41435;02.01.2011;Chelsea;Aston Villa
E0;1;25133;16812;02.01.2011;Wigan;Newcastle
E0;1;16220;15780;04.01.2011;Blackpool;Birmingham
E0;1;25800;25043;04.01.2011;Fulham;West Brom
E0;1;75800;75109;04.01.2011;Man United;Stoke
E0;1;60704;60025;05.01.2011;Arsenal;Man City
E0;1;42682;37194;05.01.2011;Aston Villa;Sunderland
E0;1;31367;25000;05.01.2011;Blackburn;Liverpool
E0;1;28723;22870;05.01.2011;Bolton;Wigan
E0;1;39571;35934;05.01.2011;Everton;Tottenham
E0;1;52338;47718;05.01.2011;Newcastle;West Ham
E0;1;32050;27696;05.01.2011;Wolves;Chelsea
E0;1;16220;15780;12.01.2011;Blackpool;Liverpool
E0;1;42000;41435;15.01.2011;Chelsea;Blackburn
E0;1;48000;45905;15.01.2011;Man City;Wolves
E0;1;30089;26858;15.01.2011;Stoke;Bolton
E0;1;26850;24683;15.01.2011;West Brom;Blackpool
E0;1;35345;33404;15.01.2011;West Ham;Arsenal
E0;1;25133;16812;15.01.2011;Wigan;Fulham
E0;1;29409;25462;16.01.2011;Birmingham;Aston Villa
E0;1;45000;42820;16.01.2011;Liverpool;Everton
E0;1;48707;40011;16.01.2011;Sunderland;Newcastle
E0;1;36284;35704;16.01.2011;Tottenham;Man United
E0;1;60704;60025;22.01.2011;Arsenal;Wigan
E0;1;42682;37194;22.01.2011;Aston Villa;Man City
E0;1;16220;15780;22.01.2011;Blackpool;Sunderland
E0;1;39571;35934;22.01.2011;Everton;West Ham
E0;1;25800;25043;22.01.2011;Fulham;Stoke
E0;1;75800;75109;22.01.2011;Man United;Birmingham
E0;1;52338;47718;22.01.2011;Newcastle;Tottenham
E0;1;32050;27696;22.01.2011;Wolves;Liverpool
E0;1;31367;25000;23.01.2011;Blackburn;West Brom
E0;1;28723;22870;24.01.2011;Bolton;Chelsea
E0;1;16220;15780;25.01.2011;Blackpool;Man United
E0;1;25133;16812;25.01.2011;Wigan;Aston Villa
E0;1;45000;42820;26.01.2011;Liverpool;Fulham
E0;1;60704;60025;01.02.2011;Arsenal;Everton
E0;1;75800;75109;01.02.2011;Man United;Aston Villa
E0;1;48707;40011;01.02.2011;Sunderland;Chelsea
E0;1;26850;24683;01.02.2011;West Brom;Wigan
E0;1;29409;25462;02.02.2011;Birmingham;Man City
E0;1;31367;25000;02.02.2011;Blackburn;Tottenham
E0;1;16220;15780;02.02.2011;Blackpool;West Ham
E0;1;28723;22870;02.02.2011;Bolton;Wolves
E0;1;25800;25043;02.02.2011;Fulham;Newcastle
E0;1;45000;42820;02.02.2011;Liverpool;Stoke
E0;1;42682;37194;05.02.2011;Aston Villa;Fulham
E0;1;39571;35934;05.02.2011;Everton;Blackpool
E0;1;48000;45905;05.02.2011;Man City;West Brom
E0;1;52338;47718;05.02.2011;Newcastle;Arsenal
E0;1;30089;26858;05.02.2011;Stoke;Sunderland
E0;1;36284;35704;05.02.2011;Tottenham;Bolton
E0;1;25133;16812;05.02.2011;Wigan;Blackburn
E0;1;32050;27696;05.02.2011;Wolves;Man United
E0;1;42000;41435;06.02.2011;Chelsea;Liverpool
E0;1;35345;33404;06.02.2011;West Ham;Birmingham
E0;1;60704;60025;12.02.2011;Arsenal;Wolves
E0;1;29409;25462;12.02.2011;Birmingham;Stoke
E0;1;31367;25000;12.02.2011;Blackburn;Newcastle
E0;1;16220;15780;12.02.2011;Blackpool;Aston Villa
E0;1;45000;42820;12.02.2011;Liverpool;Wigan
E0;1;75800;75109;12.02.2011;Man United;Man City
E0;1;48707;40011;12.02.2011;Sunderland;Tottenham
E0;1;26850;24683;12.02.2011;West Brom;West Ham
E0;1;28723;22870;13.02.2011;Bolton;Everton
E0;1;25800;25043;14.02.2011;Fulham;Chelsea
E0;1;29409;25462;15.02.2011;Birmingham;Newcastle
E0;1;26850;24683;20.02.2011;West Brom;Wolves
E0;1;16220;15780;22.02.2011;Blackpool;Tottenham
E0;1;60704;60025;23.02.2011;Arsenal;Stoke
E0;1;42682;37194;26.02.2011;Aston Villa;Blackburn
